she had acted a 277
she had added a 2393
she had after a 82
she had again a 295
she had aimed a 66
she had anything i 43
she had asked a 2227
she had baked a 342
she had beaten a 137
she had begun a 2527
she had blown a 138
she had borne a 9631
she had bound a 103
she had built a 2968
she had burnt a 46
she had burst a 137
she had cared a 52
she had cited a 45
she had cried a 531
she had cured a 60
she had dated a 446
she had dined a 72
she had drank a 57
she had drawn a 2931
she had drunk a 1380
she had earned a 2522
she had either a 252
she had ended a 162
she had faced a 325
she had faked a 49
she had feared a 145
she had feared i 50
she had filed a 847
she had fired a 494
she had first a 59
she had fixed a 349
she had flown a 83
she had found a 34626
she had found i 98
she had freed a 48
she had given a 8150
she had glued a 42
she had grown a 1694
she had headed a 117
she had healed a 52
she had heaved a 45
she had hired a 1714
she had hoped a 117
she had hoped i 421
she had issue a 75
she had known a 5499
she had known i 833
she had leased a 86
she had liked a 108
she had lived a 5276
she had lived i 332
she had longed a 41
she had loved a 725
she had maybe a 45
she had mingled a 72
she had mixed a 233
she had moved a 796
she had named a 190
she had nearly a 230
she had never a 446
she had noted a 503
she had often a 124
she had owned a 458
she had poked a 44
she had posed a 90
she had quite a 9723
she had rather a 855
she had rather i 55
she had really a 230
she had reaped a 108
she had reared a 162
she had risen a 104
she had saved a 1589
she had seated a 92
she had sewed a 93
she had shewn a 245
she had shown a 3301
she had slain a 75
she had slept a 557
she had spent a 10959
she had spied a 225
she had spoke a 81
she had spread a 614
she had sprung a 916
she had still a 1732
she had stood a 364
she had strung a 52
she had stuck a 584
she had swept a 49
she had sworn a 190
she had taken a 79047
she had tamed a 105
she had taped a 139
she had thrown a 2466
she had thrust a 251
she had tried a 720
she had truly a 97
she had typed a 77
she had until i 45
she had upset a 94
she had urged a 48
she had vowed a 115
she had waged a 155
she had waved a 196
she had while a 46
she had while i 60
she had withal a 47
she had within a 105
she had wound a 180
she had woven a 631
she had yearly a 40
she has about a 287
she has acted a 53
she has added a 970
she has asked a 244
she has baked a 69
she has begun a 436
she has borne a 1898
she has built a 1343
she has cried a 53
she has cured a 60
she has drawn a 878
she has drunk a 95
she has earned a 951
she has either a 170
she has faced a 54
she has filed a 484
she has fired a 46
she has fixed a 87
she has found a 8589
she has given a 2719
she has grown a 436
she has hired a 279
she has known a 229
she has lived a 1541
she has loved a 77
she has moved a 132
she has named a 62
she has nearly a 59
she has never a 218
she has noted a 124
she has often a 84
she has quite a 1508
she has rather a 457
she has really a 200
she has reaped a 78
she has reared a 233
she has saved a 189
she has sewed a 51
she has shewn a 47
she has shown a 1425
she has slain a 84
she has slept a 73
she has spent a 1568
she has spread a 72
she has sprung a 81
she has staid a 82
she has still a 1134
she has taken a 16337
she has thrown a 242
she has tried a 142
she has upset a 159
she has waged a 44
she has withal a 70
she has within a 46
she has woven a 294
she hath borne a 67
she hath cured a 86
she hath given a 60
she hath never a 43
she hath taken a 174
she hid beneath a 40
she hid under a 276
she lay about a 73
she lay awake a 340
she lay beneath a 117
she lay still a 86
she lay under a 380
she lay within a 56
she let flash a 101
she let loose a 844
she lie about a 48
she may adopt a 224
she may apply a 49
she may begin a 137
she may build a 101
she may carry a 245
she may catch a 158
she may cause a 61
she may claim a 299
she may create a 308
she may drink a 55
she may drive a 47
she may enjoy a 263
she may enter a 240
she may exert a 48
she may grant a 131
she may incur a 49
she may issue a 211
she may marry a 496
she may offer a 190
she may order a 190
she may place a 170
she may please a 68
she may prove a 433
she may raise a 75
she may serve a 66
she may share a 64
she may spend a 278
she may start a 135
she may utter a 46
she may visit a 74
she may write a 280
she mean about a 63
she met while a 45
she not carry a 44
she not found a 196
she not given a 59
she not light a 259
she not marry a 73
she not rather a 99
she not really a 81
she not shown a 43
she not spend a 45
she not still a 128
she not taken a 215
she not write a 97
she now added a 207
she now began a 70
she now calls a 61
she now faced a 164
she now faces a 59
she now feels a 162
she now finds a 48
she now found a 166
she now holds a 211
she now keeps a 54
she now lived a 56
she now lives a 102
she now makes a 118
she now needs a 72
she now owned a 132
she now seeks a 45
she now spent a 62
she now spoke a 43
she now takes a 93
she now wants a 75
she now wrote a 56
she put aside a 200
she put quite a 48
she ran after a 99
she ran under a 73
she read about a 398
she read aloud a 252
she sang about a 67
she sat beneath a 177
she sat holding a 62
she sat sipping a 59
she sat smoking a 51
she sat still a 105
she sat turning a 76
she sat under a 704
she sat writing a 45
she saw about a 68
she saw after a 57
she saw again a 155
she saw first a 66
she saw quite a 162
she saw twice a 41
she saw where a 75
she saw where i 115
she say about a 68
she set about a 134
she set apart a 88
she set aside a 420
she ten times a 121
she then added a 59
she then began a 84
she then built a 45
she then draws a 52
she then found a 78
she then gives a 62
she then makes a 197
she then spent a 75
she then swore a 46
she then takes a 156
she then tried a 41
she then wrote a 332
she too found a 101
she too makes a 60
she too needs a 60
she was about a 2230
she was above a 75
she was after a 622
she was again a 2565
she was alive a 56
she was alive i 466
she was alone a 216
she was alone i 109
she was asked a 926
she was awake a 42
she was awake i 54
she was aware i 177
she was basting a 144
she was batting a 46
she was bidding a 76
she was binding a 42
she was blazing a 65
she was blowing a 94
she was braving a 46
she was breaking a 304
she was breathing a 224
she was brewing a 47
she was burning a 59
she was calling a 308
she was carving a 72
she was casting a 254
she was causing a 192
she was changing a 92
she was chasing a 407
she was chewing a 147
she was cleaning a 224
she was clearing a 68
she was closing a 92
she was cooking a 344
she was copying a 143
she was craving a 56
she was creating a 1185
she was cutting a 288
she was dancing a 268
she was darning a 56
she was denying a 58
she was digging a 238
she was dipping a 54
she was drawing a 825
she was dreading a 45
she was dreaming a 80
she was driving a 1334
she was drunk a 48
she was easily a 76
she was editing a 157
she was either a 2014
she was engaging a 62
she was falling a 49
she was feeding a 252
she was feeling a 5124
she was filling a 415
she was filming a 122
she was finding a 470
she was fined a 56
she was fingering a 64
she was first a 642
she was fitting a 50
she was fleeing a 72
she was folding a 115
she was forcing a 93
she was forging a 71
she was forming a 388
she was found a 369
she was framing a 89
she was fucking a 53
she was fully a 182
she was gaining a 510
she was getting a 9090
she was given a 31655
she was greasing a 44
she was growing a 517
she was grown a 177
she was guiding a 60
she was hailing a 57
she was handing a 123
she was happy i 294
she was hauling a 69
she was helping a 422
she was hemming a 41
she was hitting a 114
she was holding a 8956
she was hosting a 227
she was hugging a 194
she was humming a 566
she was hunting a 188
she was hurting a 44
she was ironing a 103
she was issuing a 120
she was joining a 263
she was keeping a 1693
she was killing a 114
she was kissing a 231
she was lacking a 81
she was later a 168
she was learning a 833
she was lending a 70
she was letting a 162
she was licking a 43
she was lifting a 247
she was limping a 40
she was loading a 88
she was looking a 743
she was lucky i 47
she was lugging a 93
she was marking a 40
she was mashing a 116
she was maybe a 166
she was meeting a 897
she was mending a 220
she was milking a 120
she was minus a 67
she was missing a 1092
she was moved a 64
she was named a 1647
she was nearly a 1133
she was never a 5333
she was nursing a 1065
she was obeying a 254
she was often a 1799
she was opening a 630
she was packing a 283
she was panting a 108
she was passing a 712
she was patting a 52
she was peeling a 60
she was penning a 74
she was petting a 70
she was picking a 165
she was piecing a 83
she was pinning a 61
she was placing a 255
she was playing a 6058
she was playing i 46
she was posting a 45
she was pouring a 189
she was praying a 75
she was proud o 60
she was proving a 163
she was puffing a 59
she was pulling a 587
she was pushing a 493
she was putting a 1294
she was queen o 71
she was quiet a 127
she was quite a 20065
she was quoting a 68
she was raising a 630
she was rated a 83
she was rather a 2442
she was reaching a 234
she was really a 17872
she was reared a 48
she was renting a 261
she was resting a 45
she was right a 84
she was right i 287
she was risking a 175
she was rocking a 113
she was rolling a 136
she was rubbing a 85
she was running a 3632
she was saved a 43
she was seated a 95
she was seated i 91
she was seeking a 1770
she was selling a 155
she was sending a 815
she was sensing a 44
she was serving a 656
she was setting a 649
she was shaking a 233
she was shaping a 51
she was sharing a 1127
she was shooing a 40
she was short a 61
she was showing a 840
she was shown a 1521
she was signing a 369
she was sipping a 250
she was sitting a 232
she was sitting i 51
she was slicing a 50
she was small i 54
she was smiling a 646
she was smoking a 1198
she was sobbing a 43
she was solving a 48
she was soothing a 50
she was sorry i 631
she was sorting a 48
she was speaking a 733
she was speaking i 287
she was staging a 77
she was staking a 47
she was staring a 49
she was stating a 201
she was staying a 126
she was stealing a 115
she was still a 113816
she was sucking a 134
she was swaying a 93
she was sweating a 46
she was taken a 286
she was talking a 491
she was talking i 391
she was tapping a 70
she was teaching a 871
she was telling a 1752
she was tending a 129
she was testing a 77
she was thanking a 57
she was thinking a 317
she was thinking i 356
she was threading a 45
she was throwing a 460
she was thrown a 113
she was tidying a 55
she was tired a 53
she was tossing a 98
she was touring a 45
she was tracing a 88
she was treading a 108
she was treating a 170
she was truly a 2533
she was tucking a 41
she was turning a 473
she was twice a 155
she was under a 5040
she was undoing a 124
she was until a 182
she was until i 361
she was viewing a 176
she was voicing a 75
she was voted a 138
she was waiting a 91
she was walking a 767
she was wanting a 162
she was warming a 44
she was washing a 136
she was wasting a 103
she was weeping a 46
she was where i 93
she was while i 77
she was willing i 74
she was winding a 132
she was winning a 83
she was wishing i 66
she was withal a 72
she was within a 3453
she was working a 767
she was working i 57
she was writing a 5303
she who found a 75
she who gives a 127
she who makes a 146
she who takes a 46
shoe box makes a 45
