have not been any big 108
have not been any for 199
have not been any long 87
have not been any men 49
have not been any new 276
have not been any real 154
have not been any too 483
have not been cut and 84
have not been cut are 42
have not been cut for 156
have not been cut off 1449
have not been cut out 186
have not been dead for 148
have not been dead long 185
have not been doing all 206
have not been doing any 632
have not been doing for 115
have not been doing our 150
have not been doing that 1638
have not been doing them 83
have not been doing things 95
have not been doing this 573
have not been doing too 479
have not been dry for 51
have not been dug out 41
have not been easy and 73
have not been easy for 987
have not been easy with 67
have not been eating and 42
have not been eating any 54
have not been eating too 63
have not been ere this 200
have not been far off 81
have not been fed and 51
have not been fed for 343
have not been fed with 62
have not been fed yet 44
have not been few nor 66
have not been fit for 124
have not been for any 42
have not been for long 98
have not been for six 54
have not been for ten 52
have not been for two 103
have not been going all 127
have not been going long 118
have not been going out 947
have not been going that 50
have not been going too 514
have not been got rid 76
have not been hit with 57
have not been hit yet 86
have not been ill for 133
have not been let out 114
have not been long ago 176
have not been long out 148
have not been long with 96
have not been man and 48
have not been men who 176
have not been met and 1063
have not been met are 59
have not been met but 40
have not been met for 299
have not been met may 41
have not been met with 1791
have not been met yet 77
have not been near any 106
have not been near her 215
have not been near him 170
have not been near his 68
have not been near that 131
have not been near them 134
have not been near this 45
have not been near you 94
have not been nor are 113
have not been off our 92
have not been off this 109
have not been one and 52
have not been one day 123
have not been one for 107
have not been our own 53
have not been out all 920
have not been out and 99
have not been out but 67
have not been out for 1240
have not been out long 239
have not been out that 106
have not been out this 296
have not been out with 652
have not been out yet 403
have not been put off 376
have not been put out 522
have not been read and 110
have not been read for 73
have not been read with 40
have not been read yet 77
have not been run for 56
have not been set and 89
have not been set for 321
have not been set off 62
have not been set out 372
have not been set with 50
have not been set yet 126
have not been that bad 202
have not been that far 198
have not been that for 59
have not been that way 256
have not been this bad 42
have not been this far 118
have not been this long 84
have not been this low 44
have not been this way 337
have not been thus far 127
have not been too bad 353
have not been too easy 104
have not been too far 258
have not been too long 696
have not been using any 125
have not been using our 80
have not been using that 108
have not been using them 149
have not been using this 116
have not been with any 188
have not been with her 371
have not been with him 494
have not been with that 57
have not been with them 283
have not been with this 40
have not been with you 611
have not cast off all 67
have not come all that 113
have not come all this 1345
have not come for any 240
have not come for that 413
have not come for this 42
have not come for war 46
have not come for you 172
have not come his way 45
have not come our way 50
have not come out and 130
