was as closely bound 157
was as closely mingled 120
was as cynical about 83
was as excited about 1225
was as fidgety about 72
was as follows about 92
was as follows after 204
was as follows every 66
was as follows first 788
was as follows males 55
was as follows right 43
was as follows shall 44
was as follows table 310
was as follows though 101
was as follows total 366
was as follows under 123
was as follows while 46
was as frantic about 56
was as heartily tired 46
was as incense added 49
was as legally binding 188
was as miserly about 65
was as nervous about 351
was as pleasant after 54
was as puzzled about 77
was as rigidly fixed 86
was as sanguine about 84
was as sharply drawn 99
was as solidly built 99
was as strongly built 45
was as strongly urged 49
was as thrilled about 52
was as tightly bound 43
was as tightly drawn 44
was as tightly strung 46
was as tightly wound 62
was as unhappy about 330
was as visible after 331
was as worried about 789
was at arizona state 88
was at arlington house 82
was at buffalo creek 53
was at carlton house 233
was at certain hours 54
was at certain times 577
was at concert pitch 43
was at cripple creek 45
was at daggers drawn 1499
was at florida state 187
was at hampton court 1577
was at hampton roads 172
was at hanover court 247
was at holland house 175
was at immense pains 115
was at leisure again 84
was at liberty after 71
was at liberty again 367
was at liberty either 665
was at liberty under 146
was at liberty until 53
was at milford haven 42
was at national level 46
was at osborne house 53
was at plymouth dreading 54
was at present about 88
was at present bound 140
was at present close 48
was at present empty 76
was at present fully 45
was at present given 61
was at present grave 190
was at present holding 96
was at present known 244
was at present looking 40
was at present passing 55
was at present playing 49
was at present queer 46
was at present quite 522
was at present rather 134
was at present reason 157
was at present serving 222
was at present sitting 290
was at present staying 454
was at present still 121
was at present under 1541
was at present wanting 53
was at present within 63
was at present working 384
was at present writing 45
was at several times 325
was at squally times 89
was at treetop level 141
was at windsor again 54
was at wrigley field 94
was by ancient usage 95
was by careful study 54
was by carrier pigeon 47
was by command hasty 54
was by covered wagon 50
was by default rather 57
was by degrees drawn 74
was by degrees taken 68
was by entreaty alone 77
